  nnod     Lon    Lat      Cost    hs      dir   
  11502  -57.000  54.275   0.000  2.41  86.22 
  12166  -57.050  54.350   0.106  2.25  87.62 
  12830  -57.100  54.425   0.212  2.02  91.16 
  13494  -57.150  54.500   0.315  1.61  87.26 
  13937  -57.175  54.550   0.382  1.62  83.42 
  14380  -57.200  54.600   0.449  1.68  80.44 
  14823  -57.225  54.650   0.515  1.98  75.77 
  15708  -57.300  54.750   0.657  2.29  80.67 
  15929  -57.325  54.775   0.695  2.35  80.67 
  16150  -57.350  54.800   0.733  2.43  80.39 
  16812  -57.450  54.875   0.858  2.54  80.92 
  17032  -57.500  54.900   0.907  2.53  81.47 
  17252  -57.550  54.925   0.956  2.52  82.14 
  17472  -57.600  54.950   1.005  2.51  82.42 
  17913  -57.675  55.000   1.093  2.50  83.40 
  18354  -57.750  55.050   1.181  2.50  84.05 
  18795  -57.825  55.100   1.269  2.49  85.22 
  19457  -57.925  55.175   1.394  2.50  85.99 
  19677  -57.975  55.200   1.443  2.49  86.25 
  19897  -58.025  55.225   1.492  2.47  86.47 
  20117  -58.075  55.250   1.541  2.56  82.42 
  20337  -58.125  55.275   1.590  2.55  82.39 
  20557  -58.175  55.300   1.638  2.55  82.38 
  20777  -58.225  55.325   1.687  2.54  82.40 
  20997  -58.275  55.350   1.736  2.54  82.69 
  21217  -58.325  55.375   1.784  2.53  83.11 
  21437  -58.375  55.400   1.833  2.53  83.44 
  21657  -58.425  55.425   1.881  2.53  83.82 
  21877  -58.475  55.450   1.930  2.52  84.03 
  22097  -58.525  55.475   1.978  2.52  84.20 
  22317  -58.575  55.500   2.028  2.52  84.37 
  22536  -58.650  55.525   2.091  2.50  84.51 
  22755  -58.725  55.550   2.155  2.47  84.71 
  22974  -58.800  55.575   2.218  2.45  85.01 
  23193  -58.875  55.600   2.281  2.42  85.32 
  23412  -58.950  55.625   2.344  2.39  85.67 
  23632  -59.000  55.650   2.394  2.37  85.88 
  23852  -59.050  55.675   2.444  2.36  86.20 
  24072  -59.100  55.700   2.493  2.34  86.62 
  24292  -59.150  55.725   2.541  2.59  83.65 
  24512  -59.200  55.750   2.589  2.57  84.02 
  24732  -59.250  55.775   2.637  2.56  83.91 
  24952  -59.300  55.800   2.685  2.53  83.91 
  25172  -59.350  55.825   2.733  2.52  83.88 
  25392  -59.400  55.850   2.781  2.51  84.13 
  25612  -59.450  55.875   2.829  2.48  84.60 
  25832  -59.500  55.900   2.877  2.47  85.27 
  26052  -59.550  55.925   2.925  2.45  85.84 
  26272  -59.600  55.950   2.973  2.43  86.18 
  26492  -59.650  55.975   3.022  2.41  86.55 
  26712  -59.700  56.000   3.070  2.40  86.89 
  26931  -59.775  56.025   3.133  2.37  86.74 
  27151  -59.825  56.050   3.181  2.35  86.87 
  27370  -59.900  56.075   3.243  2.31  86.81 
  27590  -59.950  56.100   3.291  2.28  86.98 
  27810  -60.000  56.125   3.339  2.25  87.20 
  28030  -60.050  56.150   3.387  2.23  87.34 
  28250  -60.100  56.175   3.435  2.20  87.61 
  28470  -60.150  56.200   3.482  2.18  87.88 
  28690  -60.200  56.225   3.530  2.16  86.75 
  28909  -60.275  56.250   3.592  2.16  87.00 
  29128  -60.350  56.275   3.654  2.11  86.82 
  29348  -60.400  56.300   3.701  2.03  86.27 
  29567  -60.475  56.325   3.763  1.83  85.24 
  29786  -60.550  56.350   3.824  1.62  84.49 
  30005  -60.625  56.375   3.885  1.48  84.32 
  30224  -60.700  56.400   3.946  1.35  83.97 
  30443  -60.775  56.425   4.007  1.26  83.89 
  30662  -60.850  56.450   4.068  1.24  84.06 
  30881  -60.925  56.475   4.128  1.22  83.36 
  31100  -61.000  56.500   4.189  1.14  83.37 
